Длина,Ширина,К-во,В,Н,Л,П,Текстура,Название,Кратность сращения
828,548,1,1,0,0,1,-,Верх 1 Стойка Левая,
406,548,1,1,0,0,0,-,Верх 1 Стойка полки,
934,548,1,1,0,0,0,-,Верх 1 Дно,
934,548,1,1,0,0,0,-,Верх 1 Полка,
828,548,1,1,0,0,1,-,Верх 1 Стойка Правая,
934,548,1,1,0,0,0,-,Верх 1 Крышка,
2098,548,1,1,0,0,1,-,Низ 1 Стойка Правая,
934,548,1,1,0,0,0,-,Низ 1 Дно,
108,934,1,0,0,1,0,-,Низ 1 Цоколь Перед,
2098,548,1,1,0,0,1,-,Низ 1 Стойка Левая,
934,108,1,1,0,0,0,-,Низ 1 Цоколь Зад,
934,548,1,1,0,0,0,-,Низ 1 Крышка,
1954,548,1,1,0,0,0,-,Низ 1 Стойка Полки,
616,548,1,1,0,0,0,-,Низ 1 Полка Обувь,
300,548,1,1,0,0,0,-,Низ 1 Полка Обувь,
406,548,1,1,0,0,0,-,Верх 2 Стойка полки,
828,548,1,1,0,0,1,-,Верх 2 Стойка Правая,
828,548,1,1,0,0,1,-,Верх 2 Стойка Левая,
934,548,1,1,0,0,0,-,Верх 2 Полка,
934,548,1,1,0,0,0,-,Верх 2 Дно,
934,548,1,1,0,0,0,-,Верх 2 Крышка,
934,548,2,1,0,0,0,-,Низ 2 Полка,
2098,548,1,1,0,0,1,-,Низ 2 Стойка Левая,
934,548,1,1,0,0,0,-,Низ 2 Дно,
934,108,1,1,0,0,0,-,Низ 2 Цоколь Зад,
108,934,1,0,0,1,0,-,Низ 2 Цоколь Перед,
2098,548,1,1,0,0,1,-,Низ 2 Стойка Правая,
934,548,1,1,0,0,0,-,Низ 2 Крышка,
934,548,1,1,0,0,0,-,Низ 2 Полка Кратность 2,
400,548,3,1,0,0,0,-,Низ 2 Стойка полки,
934,548,1,1,0,0,0,-,Низ 2 Полка Кратность 1,
828,548,1,1,0,0,1,-,Верх 3 Стойка Правая,
406,548,1,1,0,0,0,-,Верх 3 Стойка полки,
828,548,1,1,0,0,1,-,Верх 3 Стойка Левая,
934,548,1,1,0,0,0,-,Верх 3 Полка,
934,548,1,1,0,0,0,-,Верх 3 Дно,
934,548,1,1,0,0,0,-,Верх 3 Крышка,
934,548,3,1,0,0,0,-,Низ 3 Полка,
2098,548,1,1,0,0,1,-,Низ 3 Стойка Левая,
2098,548,1,1,0,0,1,-,Низ 3 Стойка Правая,
934,548,1,1,0,0,0,-,Низ 3 Крышка,
934,548,1,1,0,0,0,-,Низ 3 Дно,
108,934,1,0,0,1,0,-,Низ 3 Цоколь Перед,
934,108,1,1,0,0,0,-,Низ 3 Цоколь Зад,
934,548,1,1,0,0,0,-,Низ 3 Полка Кратность 2,
300,548,4,1,0,0,0,-,Низ 3 Стойка полки,
934,548,1,1,0,0,0,-,Низ 3 Полка Кратность 1,
934,298,6,1,0,0,0,-,Верх 4 Крышка,
2102,298,1,1,0,0,1,-,Верх 4 Стойка Левая,
934,298,1,1,0,0,0,-,Верх 4 Дно,
2102,298,1,1,0,0,1,-,Верх 4 Стойка Правая,
300,298,5,1,0,0,0,-,Верх 3 Стойка полки,
478,298,1,1,0,0,0,-,Верх 3 Стойка полки,
788,548,1,1,0,0,1,-,Низ 4 Стойка Левая,
934,108,1,1,0,0,0,-,Низ 4 Цоколь Зад,
934,548,1,1,0,0,0,-,Низ 4 Дно,
788,548,1,1,0,0,1,-,Низ 4 Стойка Правая,
108,934,1,0,0,1,0,-,Низ 4 Цоколь Перед,
934,548,1,1,0,0,0,-,Низ 3 Полка,
344,548,1,1,0,0,0,-,Верх 3 Стойка полки,
566,968,1,0,1,1,0,-,Низ 4 Крышка Кратность 1,
566,968,1,0,1,1,0,-,Низ 4 Крышка Кратность 2,
198,871,4,0,0,0,1,-,Низ 1 Ящик Зад,
198,518,4,1,0,0,1,-,Низ 1 Ящик Левая,
196,926,4,1,1,1,1,-,Низ 1 Ящик Перед,
198,518,4,1,0,0,1,-,Низ 1 Ящик Правая,
