Длина,Ширина,К-во,В,Н,Л,П,Текстура,Название,Кратность сращения
822,477,1,1,1,1,1,-,Верх 1 Дверь Правая,
822,477,1,1,1,1,1,-,Верх 1 Дверь Левая,
1984,477,1,1,1,1,1,-,Низ 1 Дверь Левая,
1984,477,1,1,1,1,1,-,Низ 1 Дверь Правая,
822,477,1,1,1,1,1,-,Верх 2 Дверь Левая,
822,477,1,1,1,1,1,-,Верх 2 Дверь Правая,
1984,477,1,1,1,1,1,-,Низ 2 Дверь Правая,
1984,477,1,1,1,1,1,-,Низ 2 Дверь Левая,
822,477,1,1,1,1,1,-,Верх 3 Дверь Правая,
822,477,1,1,1,1,1,-,Верх 3 Дверь Левая,
1984,477,1,1,1,1,1,-,Низ 3 Дверь Правая,
1984,477,1,1,1,1,1,-,Низ 3 Дверь Левая,
2092,477,1,1,1,1,1,-,Верх 4 Дверь Правая,
2092,479,1,1,1,1,1,-,Верх 4 Дверь Левая,
674,477,1,1,1,1,1,-,Низ 4 Дверь Правая,
674,479,1,1,1,1,1,-,Низ 4 Дверь Левая,
